30 0 1 Inf 0.730693040452846 -0.0397799755932928 0 Inf 7.5 0 ; 23 41 51
16 3 0.8125 -4.33333333333333 0.367003309768784 -0.0611524974923055 0.1875 5.33333333333333 3.50877192982456 0.657894736842105 ; 12 21 52
12 2 0.833333333333333 -5 0.230211055866128 -0.0788434945929251 0.166666666666667 6 2.18181818181818 0.363636363636364 ; 13 32 52
27 4 0.851851851851852 -5.75 0.599221241579107 0.00351541937581899 0.148148148148148 6.75 5.72033898305085 0.847457627118644 ; 11 23 41
15 1 0.933333333333333 -14 0.470970079589517 -0.076876008767133 0.0666666666666667 15 10.1526965562053 0.676846437080355 ; 12 21 32 42
37 16 0.567567567567568 -1.3125 0.604043492697268 -0.0260018722022003 0.432432432432432 2.3125 2.19367588932806 0.948616600790514 ; 13 43
24 7 0.708333333333333 -2.42857142857143 0.414043151057241 0.0472334784262633 0.291666666666667 3.42857142857143 3.74453921364677 1.09215727064697 ; 22 33 43
30 2 0.933333333333333 -14 0.730693040452846 -0.102893284519919 0.0666666666666667 15 7.5 0.5 ; 23 31 51
31 3 0.903225806451613 -9.33333333333333 0.592858415180324 -0.081533942714934 0.0967741935483871 10.3333333333333 5.43859649122807 0.526315789473684 ; 21 32 52
49 12 0.755102040816326 -3.08333333333333 0.899973418001914 -0.185864075456917 0.244897959183673 4.08333333333333 2.67272727272727 0.654545454545455 ; 33 53
12 5 0.583333333333333 -1.4 0.146801219425062 -0.0409483151110805 0.416666666666667 2.4 1.88323917137476 0.784682988072819 ; 11 32 42
20 5 0.75 -3 0.339366142791453 -0.0996409985417527 0.25 4 2.87081339712919 0.717703349282297 ; 21 33 53
47 17 0.638297872340426 -1.76470588235294 0.791320018671387 -0.0772019530411109 0.361702127659574 2.76470588235294 2.38983050847458 0.864406779661017 ; 11 31
38 12 0.684210526315789 -2.16666666666667 0.500174203026464 -0.243792002848139 0.315789473684211 3.16666666666667 1.85185185185185 0.584795321637427 ; 21 42
18 16 0.111111111111111 -0.125 -0.0291358273374033 -0.0874074820122098 0.888888888888889 1.125 0.947368421052632 0.842105263157895 ; 22 41
18 1 0.944444444444444 -17 0.404701496513842 -0.108488794220641 0.0555555555555556 18 7.2256913470116 0.4014272970562 ; 11 22 31 41
10 8 0.2 -0.25 -0.0262430163170616 -0.00161524784310089 0.8 1.25 1.33809099018733 1.07047279214987 ; 11 21 52
19 17 0.105263157894737 -0.117647058823529 -0.0961594035849142 -0.152392972932817 0.894736842105263 1.11764705882353 0.847457627118644 0.758251561106155 ; 11 22
13 5 0.615384615384615 -1.6 0.222541879881712 -0.0496022512954153 0.384615384615385 2.6 1.86602870813397 0.717703349282297 ; 13 21 53
24 10 0.583333333333333 -1.4 0.359024561106316 -0.096260208412563 0.416666666666667 2.4 1.85185185185185 0.771604938271605 ; 12 42
30 0 1 Inf 0.798019780339635 -0.0781133089266261 0 Inf 22.5 0 ; 23 31 41 51
37 1 0.972972972972973 -36 0.758326037564629 -0.0532488536531395 0.027027027027027 37 17.9482572763205 0.485088034495149 ; 13 33 43 53
20 1 0.95 -19 0.455423046936445 -0.0429649032650025 0.05 20 8.51031639465174 0.425515819732587 ; 13 22 33 43
11 4 0.636363636363636 -1.75 0.00398829479555607 -0.0932195653150481 0.363636363636364 2.75 1.6354445435623 0.594707106749926 ; 11 21 32
10 0 1 Inf 0.311673290686301 -0.06753370401664 0 Inf 12.3897313906235 0 ; 11 21 32 42 52
18 1 0.944444444444444 -17 0.485432086331298 -0.098415683451906 0.0555555555555556 18 8.52631578947368 0.473684210526316 ; 22 31 41 51
29 13 0.551724137931034 -1.23076923076923 0.230862943405181 -0.22516262381493 0.448275862068966 2.23076923076923 1.38755980861244 0.62200956937799 ; 13 22
30 9 0.7 -2.33333333333333 0.59603956067927 -0.0993399267798783 0.3 3.33333333333333 2.5 0.75 ; 23 51
13 25 -0.923076923076923 0.48 -0.264860111628623 0.0725413044587949 1.92307692307692 0.52 0.579839429081178 1.11507582515611 ; 11 21
12 0 1 Inf 0.46566339645709 -0.0705652561236472 0 Inf 15.3185695103731 0 ; 13 21 33 43 53
10 1 0.9 -9 0.182175896140707 -0.0749379589850828 0.1 10 4.46030330062444 0.446030330062444 ; 11 21 32 52
45 13 0.711111111111111 -2.46153846153846 0.909870162371853 -0.0715628217595839 0.288888888888889 3.46153846153846 2.93478260869565 0.847826086956522 ; 43 53
12 0 1 Inf 0.361206977288302 -0.0633023561726941 0 Inf 5.61680882047015 0 ; 13 21 43 53
17 13 0.235294117647059 -0.307692307692308 -0.014297430984443 -0.133442689188135 0.764705882352941 1.30769230769231 0.97254004576659 0.74370709382151 ; 21 43
18 16 0.111111111111111 -0.125 -0.0518785847899556 -0.109521456778795 0.888888888888889 1.125 0.909090909090909 0.808080808080808 ; 13 42
18 0 1 Inf 0.519039317041704 -0.0858690003205919 0 Inf 21.6770740410348 0 ; 11 22 31 41 51
27 21 0.222222222222222 -0.285714285714286 0.173859747502667 0.0028501597951257 0.777777777777778 1.28571428571429 1.29186602870813 1.00478468899522 ; 22 33
12 22 -0.833333333333333 0.454545454545455 -0.262714492984284 0.0216085513710017 1.83333333333333 0.545454545454545 0.564971751412429 1.03578154425612 ; 11 42
30 12 0.6 -1.5 0.59603956067927 0 0.4 2.5 2.5 1 ; 23 41
31 1 0.967741935483871 -30 0.677494544757338 -0.0819866109619511 0.032258064516129 31 15.1072124756335 0.487329434697856 ; 21 32 42 52
27 0 1 Inf 0.697503884014663 -0.0529056806154296 0 Inf 17.1610169491525 0 ; 11 23 31 51
47 3 0.936170212765957 -14.6666666666667 0.860880012447591 -0.059183902970324 0.0638297872340425 15.6666666666667 7.16949152542373 0.457627118644068 ; 11 31 51
15 0 1 Inf 0.543540997460379 -0.080381547327228 0 Inf 30.458089668616 0 ; 12 21 32 42 52
12 5 0.583333333333333 -1.4 0.187355372236386 -0.0267190888934073 0.416666666666667 2.4 1.94931773879142 0.812215724496426 ; 22 32 42
21 9 0.571428571428571 -1.33333333333333 0.347445625708147 -0.0613139339484966 0.428571428571429 2.33333333333333 1.94444444444444 0.833333333333333 ; 12 32
21 3 0.857142857142857 -6 0.526447249252811 -0.0242372098305023 0.142857142857143 7 5.40123456790124 0.771604938271605 ; 12 32 42
30 9 0.7 -2.33333333333333 0.59603956067927 -0.0993399267798783 0.3 3.33333333333333 2.5 0.75 ; 23 31
37 4 0.891891891891892 -8.25 0.706805826748108 -0.00643537862488708 0.108108108108108 9.25 6.58102766798419 0.711462450592886 ; 13 43 53
18 2 0.888888888888889 -8 0.313909448441731 -0.124362206233075 0.111111111111111 9 2.84210526315789 0.315789473684211 ; 22 31 41
18 3 0.833333333333333 -5 0.222008262583023 -0.076716736938296 0.166666666666667 6 2.4085637823372 0.4014272970562 ; 11 22 51
13 1 0.923076923076923 -12 0.380492467614864 -0.0847746043918282 0.0769230769230769 13 5.08916920400174 0.39147455415398 ; 13 21 33 53
47 7 0.851063829787234 -5.71428571428571 0.860880012447591 -0.0195336588401851 0.148936170212766 6.71428571428571 7.16949152542373 1.06779661016949 ; 11 41 51
11 18 -0.636363636363636 0.388888888888889 -0.25090634738361 -0.0482512206506943 1.63636363636364 0.611111111111111 0.559322033898305 0.915254237288136 ; 11 52
39 21 0.461538461538462 -0.857142857142857 0.606503825175203 0.078258558087123 0.538461538461538 1.85714285714286 2.12727272727273 1.14545454545455 ; 13 53
27 0 1 Inf 0.697503884014663 -0.0165239040870471 0 Inf 17.1610169491525 0 ; 11 23 41 51
18 5 0.722222222222222 -2.6 0.222008262583023 -0.0960172251985738 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 41
50 12 0.76 -3.16666666666667 1 -0.14 0.24 4.16666666666667 3 0.72 ; 31 41
45 19 0.577777777777778 -1.36842105263158 0.87287156094397 0.0848625128695526 0.422222222222222 2.36842105263158 2.77777777777778 1.17283950617284 ; 32 42
27 5 0.814814814814815 -4.4 0.599221241579107 -0.0102974012905294 0.185185185185185 5.4 5.72033898305085 1.05932203389831 ; 11 23 51
47 4 0.914893617021277 -10.75 0.860880012447591 -0.0884843912306017 0.0851063829787234 11.75 7.16949152542373 0.610169491525424 ; 11 31 41
12 14 -0.166666666666667 0.142857142857143 -0.135850023855518 -0.0754722354752877 1.16666666666667 0.857142857142857 0.727272727272727 0.848484848484849 ; 13 32
12 11 0.0833333333333333 -0.0909090909090909 -0.0388709971513682 -0.0712634947775084 0.916666666666667 1.09090909090909 0.909090909090909 0.833333333333333 ; 12 33
18 2 0.888888888888889 -8 0.386308295061732 -0.12064021356457 0.111111111111111 9 3.65497076023392 0.406107862248213 ; 12 21 42
24 21 0.125 -0.142857142857143 0.194206770872017 0.104847827219249 0.875 1.14285714285714 1.37299771167048 1.20137299771167 ; 22 43
23 8 0.652173913043478 -1.875 0.364246398192887 -0.132453235706504 0.347826086956522 2.875 1.91666666666667 0.666666666666667 ; 12 52
23 4 0.826086956521739 -4.75 0.416585356643629 -0.0568885953007194 0.173913043478261 5.75 3.94736842105263 0.68649885583524 ; 22 43 53
