30 0 1 Inf 0.730693040452846 -0.158082132730962 0 Inf 7.5 0 ; 23 41 51
21 18 0.142857142857143 -0.166666666666667 0.0582716546748065 -0.0291358273374033 0.857142857142857 1.16666666666667 1.10526315789474 0.947368421052632 ; 21 53
20 0 1 Inf 0.44852772186809 -0.0382374094383854 0 Inf 9.36134803411692 0 ; 13 22 43 53
45 2 0.955555555555556 -21.5 0.894635505056936 -0.0635839355451932 0.0444444444444444 22.5 8.00395256916996 0.355731225296443 ; 33 43 53
18 1 0.944444444444444 -17 0.313909448441731 -0.143498033570479 0.0555555555555556 18 2.84210526315789 0.157894736842105 ; 22 41 51
18 14 0.222222222222222 -0.285714285714286 -0.0291358273374033 -0.145679136687016 0.777777777777778 1.28571428571429 0.947368421052632 0.736842105263158 ; 22 51
50 2 0.96 -24 1 -0.05 0.04 25 9 0.36 ; 31 41 51
14 3 0.785714285714286 -3.66666666666667 0.212951067119622 -0.0430469587329265 0.214285714285714 4.66666666666667 2.04678362573099 0.43859649122807 ; 22 42 52
50 13 0.74 -2.84615384615385 1 -0.11 0.26 3.84615384615385 3 0.78 ; 31 51
34 7 0.794117647058823 -3.85714285714286 0.616852624040045 -0.0636882427820308 0.205882352941176 4.85714285714286 4.97076023391813 1.0233918128655 ; 21 42 52
24 0 1 Inf 0.406504100730533 -0.128354006288392 0 Inf 3.44497607655502 0 ; 22 33 53
44 10 0.772727272727273 -3.4 0.894959429780133 -0.154303349962092 0.227272727272727 4.4 2.93333333333333 0.666666666666667 ; 32 52
47 0 1 Inf 0.895660009335693 -0.058775854455486 0 Inf 21.5084745762712 0 ; 11 31 41 51
18 19 -0.0555555555555556 0.0526315789473684 -0.0291358273374033 0 1.05555555555556 0.947368421052632 0.947368421052632 1 ; 22 31
12 12 0 0 -0.169753409684498 -0.169753409684498 1 1 0.677966101694915 0.677966101694915 ; 11 32
30 4 0.866666666666667 -6.5 0.730693040452846 -0.0208177452355015 0.133333333333333 7.5 7.5 1 ; 23 31 41
15 4 0.733333333333333 -2.75 0.364583384153451 0.00796987692038556 0.266666666666667 3.75 3.65497076023392 0.974658869395712 ; 12 21 32
12 1 0.916666666666667 -11 0.404162067130837 -0.0887364626917156 0.0833333333333333 12 6.06060606060606 0.505050505050505 ; 13 32 42 52
23 20 0.130434782608696 -0.15 0.0598533556976396 -0.0256514381561313 0.869565217391304 1.15 1.10047846889952 0.956937799043062 ; 21 33
17 0 1 Inf 0.464622349093135 -0.0730923984031824 0 Inf 7.95714582899938 0 ; 21 33 43 53
15 2 0.866666666666667 -6.5 0.464998898415737 -0.0667618547360017 0.133333333333333 7.5 10.9649122807018 1.46198830409357 ; 12 21 32 52
23 0 1 Inf 0.532942028372085 -0.0773033016883544 0 Inf 10.7655502392345 0 ; 22 33 43 53
12 0 1 Inf 0.375638082695384 -0.063848465072111 0 Inf 5.84795321637427 0 ; 22 32 42 52
21 0 1 Inf 0.45206357718608 -0.0902317753808897 0 Inf 8.22096563723358 0 ; 13 22 33 53
16 2 0.875 -7 0.367003309768784 -0.118788249581723 0.125 8 3.50877192982456 0.43859649122807 ; 12 21 52
12 5 0.583333333333333 -1.4 0.230211055866128 -0.108918949379613 0.416666666666667 2.4 2.18181818181818 0.909090909090909 ; 13 32 52
27 2 0.925925925925926 -12.5 0.599221241579107 -0.142145465693485 0.0740740740740741 13.5 5.72033898305085 0.423728813559322 ; 11 23 41
15 2 0.866666666666667 -6.5 0.470970079589517 -0.0106931800149228 0.133333333333333 7.5 10.1526965562053 1.35369287416071 ; 12 21 32 42
37 17 0.540540540540541 -1.17647058823529 0.604043492697268 0.00400028803110773 0.459459459459459 2.17647058823529 2.19367588932806 1.00790513833992 ; 13 43
24 4 0.833333333333333 -5 0.414043151057241 -0.0708429088601474 0.166666666666667 6 3.74453921364677 0.624089868941128 ; 22 33 43
30 2 0.933333333333333 -14 0.730693040452846 -0.113931054162128 0.0666666666666667 15 7.5 0.5 ; 23 31 51
31 2 0.935483870967742 -14.5 0.592858415180324 -0.130407672304163 0.0645161290322581 15.5 5.43859649122807 0.350877192982456 ; 21 32 52
49 12 0.755102040816326 -3.08333333333333 0.899973418001914 -0.185864075456917 0.244897959183673 4.08333333333333 2.67272727272727 0.654545454545455 ; 33 53
12 6 0.5 -1 0.146801219425062 -0.0716075156655721 0.5 2 1.88323917137476 0.941619585687382 ; 11 32 42
20 5 0.75 -3 0.339366142791453 -0.0802171136501505 0.25 4 2.87081339712919 0.717703349282297 ; 21 33 53
47 19 0.595744680851064 -1.47368421052632 0.791320018671387 -0.0193004882602777 0.404255319148936 2.47368421052632 2.38983050847458 0.966101694915254 ; 11 31
38 22 0.421052631578947 -0.727272727272727 0.500174203026464 0.0423488455651697 0.578947368421053 1.72727272727273 1.85185185185185 1.07212475633528 ; 21 42
18 13 0.277777777777778 -0.384615384615385 -0.0291358273374033 -0.17481496402442 0.722222222222222 1.38461538461538 0.947368421052632 0.68421052631579 ; 22 41
18 1 0.944444444444444 -17 0.404701496513842 -0.054821564075089 0.0555555555555556 18 7.2256913470116 0.4014272970562 ; 11 22 31 41
10 0 1 Inf -0.0262430163170616 -0.174021936646644 0 Inf 1.33809099018733 0 ; 11 21 52
19 22 -0.157894736842105 0.136363636363636 -0.0961594035849142 -0.0118090495630596 1.15789473684211 0.863636363636364 0.847457627118644 0.981266726137377 ; 11 22
13 7 0.461538461538462 -0.857142857142857 0.222541879881712 -0.041087834606589 0.538461538461538 1.85714285714286 1.86602870813397 1.00478468899522 ; 13 21 53
24 11 0.541666666666667 -1.18181818181818 0.359024561106316 -0.0637398677326431 0.458333333333333 2.18181818181818 1.85185185185185 0.848765432098766 ; 12 42
30 0 1 Inf 0.798019780339635 -0.0857077330321478 0 Inf 22.5 0 ; 23 31 41 51
37 1 0.972972972972973 -36 0.758326037564629 -0.0529047856447506 0.027027027027027 37 17.9482572763205 0.485088034495149 ; 13 33 43 53
20 0 1 Inf 0.455423046936445 -0.0493968056072108 0 Inf 8.51031639465174 0 ; 13 22 33 43
11 3 0.727272727272727 -2.66666666666667 0.00398829479555607 -0.0996272296193291 0.272727272727273 3.66666666666667 1.6354445435623 0.446030330062444 ; 11 21 32
10 0 1 Inf 0.311673290686301 -0.0911274519471584 0 Inf 12.3897313906235 0 ; 11 21 32 42 52
18 0 1 Inf 0.485432086331298 -0.078415683451906 0 Inf 8.52631578947368 0 ; 22 31 41 51
29 20 0.310344827586207 -0.45 0.230862943405181 -0.0256514381561313 0.689655172413793 1.45 1.38755980861244 0.956937799043062 ; 13 22
30 5 0.833333333333333 -5 0.59603956067927 -0.231793162486383 0.166666666666667 6 2.5 0.416666666666667 ; 23 51
13 19 -0.461538461538462 0.315789473684211 -0.264860111628623 -0.0961594035849142 1.46153846153846 0.684210526315789 0.579839429081178 0.847457627118644 ; 11 21
12 0 1 Inf 0.46566339645709 -0.059088273580815 0 Inf 15.3185695103731 0 ; 13 21 33 43 53
10 0 1 Inf 0.182175896140707 -0.146515240862516 0 Inf 4.46030330062444 0 ; 11 21 32 52
45 17 0.622222222222222 -1.64705882352941 0.909870162371853 0.0511163012568457 0.377777777777778 2.64705882352941 2.93478260869565 1.10869565217391 ; 43 53
12 1 0.916666666666667 -11 0.361206977288302 -0.0435270388036323 0.0833333333333333 12 5.61680882047015 0.468067401705846 ; 13 21 43 53
17 11 0.352941176470588 -0.545454545454545 -0.014297430984443 -0.19301531828998 0.647058823529412 1.54545454545455 0.97254004576659 0.62929061784897 ; 21 43
18 16 0.111111111111111 -0.125 -0.0518785847899556 -0.109521456778795 0.888888888888889 1.125 0.909090909090909 0.808080808080808 ; 13 42
18 0 1 Inf 0.519039317041704 -0.0684958277007412 0 Inf 21.6770740410348 0 ; 11 22 31 41 51
27 18 0.333333333333333 -0.5 0.173859747502667 -0.0826546340586452 0.666666666666667 1.5 1.29186602870813 0.861244019138756 ; 22 33
12 22 -0.833333333333333 0.454545454545455 -0.262714492984284 0.0216085513710017 1.83333333333333 0.545454545454545 0.564971751412429 1.03578154425612 ; 11 42
30 8 0.733333333333333 -2.75 0.59603956067927 -0.132453235706504 0.266666666666667 3.75 2.5 0.666666666666667 ; 23 41
31 2 0.935483870967742 -14.5 0.677494544757338 -0.0741691070966632 0.0645161290322581 15.5 15.1072124756335 0.974658869395712 ; 21 32 42 52
27 1 0.962962962962963 -26 0.697503884014663 -0.0754036142312824 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 51
47 6 0.872340425531915 -6.83333333333333 0.860880012447591 -0.0398834147100463 0.127659574468085 7.83333333333333 7.16949152542373 0.915254237288136 ; 11 31 51
15 2 0.866666666666667 -6.5 0.543540997460379 -0.0518102621816143 0.133333333333333 7.5 30.458089668616 4.06107862248213 ; 12 21 32 42 52
12 2 0.833333333333333 -5 0.187355372236386 -0.0858654375319805 0.166666666666667 6 1.94931773879142 0.324886289798571 ; 22 32 42
21 15 0.285714285714286 -0.4 0.347445625708147 0.143065845879825 0.714285714285714 1.4 1.94444444444444 1.38888888888889 ; 12 32
21 4 0.80952380952381 -4.25 0.526447249252811 0.00421609648798746 0.19047619047619 5.25 5.40123456790124 1.02880658436214 ; 12 32 42
30 12 0.6 -1.5 0.59603956067927 0 0.4 2.5 2.5 1 ; 23 31
37 5 0.864864864864865 -6.4 0.706805826748108 -0.00445321634609306 0.135135135135135 7.4 6.58102766798419 0.889328063241107 ; 13 43 53
18 6 0.666666666666667 -2 0.313909448441731 -0.0349383213414732 0.333333333333333 3 2.84210526315789 0.947368421052632 ; 22 31 41
18 5 0.722222222222222 -2.6 0.222008262583023 -0.049279314039979 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 51
13 2 0.846153846153846 -5.5 0.380492467614864 -0.0661633290617691 0.153846153846154 6.5 5.08916920400174 0.78294910830796 ; 13 21 33 53
47 2 0.957446808510638 -22.5 0.860880012447591 -0.0977848794908795 0.0425531914893617 23.5 7.16949152542373 0.305084745762712 ; 11 41 51
11 12 -0.0909090909090909 0.0833333333333333 -0.25090634738361 -0.221955614993194 1.09090909090909 0.916666666666667 0.559322033898305 0.610169491525424 ; 11 52
39 16 0.58974358974359 -1.4375 0.606503825175203 -0.0684762383262326 0.41025641025641 2.4375 2.12727272727273 0.872727272727273 ; 13 53
27 0 1 Inf 0.697503884014663 -0.126429885906116 0 Inf 17.1610169491525 0 ; 11 23 41 51
18 4 0.777777777777778 -3.5 0.222008262583023 -0.126542965396752 0.222222222222222 4.5 2.4085637823372 0.535236396074933 ; 11 22 41
50 19 0.62 -1.63157894736842 1 0.07 0.38 2.63157894736842 3 1.14 ; 31 41
45 14 0.688888888888889 -2.21428571428571 0.87287156094397 -0.0666776886832199 0.311111111111111 3.21428571428571 2.77777777777778 0.864197530864198 ; 32 42
27 1 0.962962962962963 -26 0.599221241579107 -0.107707065709139 0.037037037037037 27 5.72033898305085 0.211864406779661 ; 11 23 51
47 5 0.893617021276596 -8.4 0.860880012447591 -0.0474351236210183 0.106382978723404 9.4 7.16949152542373 0.76271186440678 ; 11 31 41
12 15 -0.25 0.2 -0.135850023855518 -0.0452833412851726 1.25 0.8 0.727272727272727 0.909090909090909 ; 13 32
12 13 -0.0833333333333333 0.0769230769230769 -0.0388709971513682 -0.00647849952522804 1.08333333333333 0.923076923076923 0.909090909090909 0.984848484848485 ; 12 33
18 5 0.722222222222222 -2.6 0.386308295061732 -0.035859453899189 0.277777777777778 3.6 3.65497076023392 1.01526965562053 ; 12 21 42
24 15 0.375 -0.6 0.194206770872017 -0.0738700600862887 0.625 1.6 1.37299771167048 0.85812356979405 ; 22 43
23 10 0.565217391304348 -1.3 0.364246398192887 -0.0662266178532522 0.434782608695652 2.3 1.91666666666667 0.833333333333333 ; 12 52
23 5 0.782608695652174 -3.6 0.416585356643629 -0.0464323560596854 0.217391304347826 4.6 3.94736842105263 0.85812356979405 ; 22 43 53
