30 0 1 Inf 0.730693040452846 -0.134968823804336 0 Inf 7.5 0 ; 23 41 51
18 8 0.555555555555556 -1.25 0.222008262583023 -0.0200817883869135 0.444444444444444 2.25 2.4085637823372 1.07047279214987 ; 11 22 31
15 10 0.333333333333333 -0.5 -0.116543309349613 -0.262222446036629 0.666666666666667 1.5 0.789473684210526 0.526315789473684 ; 22 52
11 0 1 Inf 0.187049359228803 -0.113369688943418 0 Inf 4.54290150989527 0 ; 11 21 32 42
39 7 0.82051282051282 -4.57142857142857 0.720659878507205 -0.0191764132226475 0.179487179487179 5.57142857142857 5.80165289256199 1.04132231404959 ; 13 33 53
10 3 0.7 -2.33333333333333 0.264958600999098 -0.0761671407507468 0.3 3.33333333333333 2.27272727272727 0.681818181818182 ; 12 33 53
23 10 0.565217391304348 -1.3 0.353408361084115 0.0482209454905101 0.434782608695652 2.3 3.00130491518051 1.30491518051327 ; 13 22 33
17 1 0.941176470588235 -16 0.317948128687405 -0.0786975999752269 0.0588235294117647 17 2.91762013729977 0.17162471395881 ; 21 43 53
22 4 0.818181818181818 -4.5 0.545539072777276 -0.0304436762150048 0.181818181818182 5.5 5.09259259259259 0.925925925925926 ; 12 42 52
12 13 -0.0833333333333333 0.0769230769230769 -0.152855695910666 -0.122883990830143 1.08333333333333 0.923076923076923 0.701754385964912 0.760233918128655 ; 22 32
21 16 0.238095238095238 -0.3125 0.0028501597951257 -0.139657829961159 0.761904761904762 1.3125 1.00478468899522 0.76555023923445 ; 13 21
49 16 0.673469387755102 -2.0625 0.913346259032624 -0.058925565098879 0.326530612244898 3.0625 2.72222222222222 0.888888888888889 ; 42 52
20 6 0.7 -2.33333333333333 0.343037735658155 -0.0124830477971725 0.3 3.33333333333333 3.12044934470564 0.936134803411691 ; 13 22 43
18 1 0.944444444444444 -17 0.404701496513842 -0.0414469467930703 0.0555555555555556 18 7.2256913470116 0.4014272970562 ; 11 22 41 51
27 6 0.777777777777778 -3.5 0.599221241579107 0.0127796110337041 0.222222222222222 4.5 5.72033898305085 1.27118644067797 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.0625168614832452 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 4 0.80952380952381 -4.25 0.327681968422467 -0.0412992444019711 0.19047619047619 5.25 3.01435406698565 0.574162679425837 ; 13 22 53
15 8 0.466666666666667 -0.875 0.239401969279088 -0.00878225041200382 0.533333333333333 1.875 1.9573727707699 1.04393214441061 ; 13 21 33
43 26 0.395348837209302 -0.653846153846154 0.655502392344498 0.167464114832536 0.604651162790698 1.65384615384615 2.13223140495868 1.28925619834711 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0426476971018722 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 5 0.545454545454545 -1.2 -0.00913346719548128 -0.0968311830332165 0.454545454545455 2.2 1.36287045296858 0.619486569531173 ; 11 21 42
11 3 0.727272727272727 -2.66666666666667 0.158099890904008 -0.13203688831413 0.272727272727273 3.66666666666667 1.86440677966102 0.508474576271187 ; 11 32 52
34 19 0.441176470588235 -0.789473684210526 0.437037410061049 0 0.558823529411765 1.78947368421053 1.78947368421053 1 ; 21 52
10 11 -0.1 0.0909090909090909 -0.0662266178532522 -0.0331133089266261 1.1 0.909090909090909 0.833333333333333 0.916666666666667 ; 12 53
10 1 0.9 -9 0.17867948668727 -0.075928633271676 0.1 10 3.71691941718704 0.371691941718704 ; 11 21 42 52
44 3 0.931818181818182 -13.6666666666667 0.893725749918909 -0.0824626815687269 0.0681818181818182 14.6666666666667 8.14814814814815 0.555555555555556 ; 32 42 52
11 3 0.727272727272727 -2.66666666666667 0.133241806221576 -0.0857329723005064 0.272727272727273 3.66666666666667 1.55367231638418 0.423728813559322 ; 11 42 52
18 1 0.944444444444444 -17 0.404701496513842 -0.0360046434497158 0.0555555555555556 18 7.2256913470116 0.4014272970562 ; 11 22 31 51
47 14 0.702127659574468 -2.35714285714286 0.791320018671387 -0.164054150212361 0.297872340425532 3.35714285714286 2.38983050847458 0.711864406779661 ; 11 51
12 2 0.833333333333333 -5 0.197532073835983 -0.129487111668088 0.166666666666667 6 1.87226960682338 0.312044934470564 ; 13 21 43
24 17 0.291666666666667 -0.411764705882353 0.145679136687016 -0.0582716546748065 0.708333333333333 1.41176470588235 1.26315789473684 0.894736842105263 ; 22 53
16 14 0.125 -0.142857142857143 -0.0684762383262326 -0.127170156891575 0.875 1.14285714285714 0.872727272727273 0.763636363636364 ; 13 52
16 1 0.9375 -15 0.478925825411959 -0.0553204577153405 0.0625 16 9.74658869395712 0.60916179337232 ; 12 21 42 52
21 21 0 0 0.0582716546748065 0.0582716546748065 1 1 1.10526315789474 1.10526315789474 ; 21 53
20 2 0.9 -9 0.44852772186809 -0.0392933096920234 0.1 10 9.36134803411692 0.936134803411691 ; 13 22 43 53
45 3 0.933333333333333 -14 0.894635505056936 -0.134697537100857 0.0666666666666667 15 8.00395256916996 0.533596837944664 ; 33 43 53
18 5 0.722222222222222 -2.6 0.313909448441731 -0.0660905515582688 0.277777777777778 3.6 2.84210526315789 0.789473684210526 ; 22 41 51
18 21 -0.166666666666667 0.142857142857143 -0.0291358273374033 0.0582716546748065 1.16666666666667 0.857142857142857 0.947368421052632 1.10526315789474 ; 22 51
50 3 0.94 -15.6666666666667 1 -0.12 0.06 16.6666666666667 9 0.54 ; 31 41 51
14 3 0.785714285714286 -3.66666666666667 0.212951067119622 -0.112009111751 0.214285714285714 4.66666666666667 2.04678362573099 0.43859649122807 ; 22 42 52
50 15 0.7 -2.33333333333333 1 -0.05 0.3 3.33333333333333 3 0.9 ; 31 51
34 5 0.852941176470588 -5.8 0.616852624040045 -0.0818297994214521 0.147058823529412 6.8 4.97076023391813 0.730994152046784 ; 21 42 52
24 2 0.916666666666667 -11 0.406504100730533 -0.0801467363350612 0.0833333333333333 12 3.44497607655502 0.287081339712919 ; 22 33 53
44 14 0.681818181818182 -2.14285714285714 0.894959429780133 -0.0308606699924184 0.318181818181818 3.14285714285714 2.93333333333333 0.933333333333333 ; 32 52
47 0 1 Inf 0.895660009335693 -0.0696502441301389 0 Inf 21.5084745762712 0 ; 11 31 41 51
18 18 0 0 -0.0291358273374033 -0.0291358273374033 1 1 0.947368421052632 0.947368421052632 ; 22 31
12 9 0.25 -0.333333333333333 -0.169753409684498 -0.259097309518445 0.75 1.33333333333333 0.677966101694915 0.508474576271187 ; 11 32
30 0 1 Inf 0.730693040452846 -0.0787422059510841 0 Inf 7.5 0 ; 23 31 41
15 6 0.6 -1.5 0.364583384153451 -0.0181013290731745 0.4 2.5 3.65497076023392 1.46198830409357 ; 12 21 32
12 1 0.916666666666667 -11 0.404162067130837 -0.0978343119417605 0.0833333333333333 12 6.06060606060606 0.505050505050505 ; 13 32 42 52
23 19 0.173913043478261 -0.210526315789474 0.0598533556976396 -0.0541530361073882 0.826086956521739 1.21052631578947 1.10047846889952 0.909090909090909 ; 21 33
17 0 1 Inf 0.464622349093135 -0.103795937596009 0 Inf 7.95714582899938 0 ; 21 33 43 53
15 0 1 Inf 0.464998898415737 -0.0252318791775324 0 Inf 10.9649122807018 0 ; 12 21 32 52
23 0 1 Inf 0.532942028372085 -0.0837188558529918 0 Inf 10.7655502392345 0 ; 22 33 43 53
12 0 1 Inf 0.375638082695384 -0.107895634281741 0 Inf 5.84795321637427 0 ; 22 32 42 52
21 1 0.952380952380952 -20 0.45206357718608 -0.0231003621172924 0.0476190476190476 21 8.22096563723358 0.39147455415398 ; 13 22 33 53
16 3 0.8125 -4.33333333333333 0.367003309768784 -0.0400848341116011 0.1875 5.33333333333333 3.50877192982456 0.657894736842105 ; 12 21 52
12 3 0.75 -3 0.230211055866128 -0.0677713893897219 0.25 4 2.18181818181818 0.545454545454546 ; 13 32 52
27 6 0.777777777777778 -3.5 0.599221241579107 0.0610308316843984 0.222222222222222 4.5 5.72033898305085 1.27118644067797 ; 11 23 41
15 2 0.866666666666667 -6.5 0.470970079589517 -0.0607747459487946 0.133333333333333 7.5 10.1526965562053 1.35369287416071 ; 12 21 32 42
37 16 0.567567567567568 -1.3125 0.604043492697268 -0.0260018722022003 0.432432432432432 2.3125 2.19367588932806 0.948616600790514 ; 13 43
24 2 0.916666666666667 -11 0.414043151057241 -0.0719871808364382 0.0833333333333333 12 3.74453921364677 0.312044934470564 ; 22 33 43
30 2 0.933333333333333 -14 0.730693040452846 -0.104968823804336 0.0666666666666667 15 7.5 0.5 ; 23 31 51
31 4 0.870967741935484 -6.75 0.592858415180324 -0.00129537847331596 0.129032258064516 7.75 5.43859649122807 0.701754385964912 ; 21 32 52
49 13 0.73469387755102 -2.76923076923077 0.899973418001914 -0.156517116174246 0.26530612244898 3.76923076923077 2.67272727272727 0.709090909090909 ; 33 53
12 1 0.916666666666667 -11 0.146801219425062 -0.169606595168147 0.0833333333333333 12 1.88323917137476 0.156936597614564 ; 11 32 42
20 5 0.75 -3 0.339366142791453 -0.0507994992022759 0.25 4 2.87081339712919 0.717703349282297 ; 21 33 53
47 19 0.595744680851064 -1.47368421052632 0.791320018671387 -0.0193004882602777 0.404255319148936 2.47368421052632 2.38983050847458 0.966101694915254 ; 11 31
38 14 0.631578947368421 -1.71428571428571 0.500174203026464 -0.186563833165477 0.368421052631579 2.71428571428571 1.85185185185185 0.682261208576998 ; 21 42
18 15 0.166666666666667 -0.2 -0.0291358273374033 -0.116543309349613 0.833333333333333 1.2 0.947368421052632 0.789473684210526 ; 22 41
18 4 0.777777777777778 -3.5 0.404701496513842 -0.0368892501364247 0.222222222222222 4.5 7.2256913470116 1.6057091882248 ; 11 22 31 41
10 5 0.5 -1 -0.0262430163170616 -0.039320578331529 0.5 2 1.33809099018733 0.669045495093667 ; 11 21 52
19 22 -0.157894736842105 0.136363636363636 -0.0961594035849142 -0.0118090495630596 1.15789473684211 0.863636363636364 0.847457627118644 0.981266726137377 ; 11 22
13 5 0.615384615384615 -1.6 0.222541879881712 -0.0499541378708617 0.384615384615385 2.6 1.86602870813397 0.717703349282297 ; 13 21 53
24 14 0.416666666666667 -0.714285714285714 0.359024561106316 0.0338211543071167 0.583333333333333 1.71428571428571 1.85185185185185 1.08024691358025 ; 12 42
30 0 1 Inf 0.798019780339635 -0.109669963389939 0 Inf 22.5 0 ; 23 31 41 51
37 1 0.972972972972973 -36 0.758326037564629 -0.0551844344997445 0.027027027027027 37 17.9482572763205 0.485088034495149 ; 13 33 43 53
20 1 0.95 -19 0.455423046936445 -0.0119415233473089 0.05 20 8.51031639465174 0.425515819732587 ; 13 22 33 43
11 4 0.636363636363636 -1.75 0.00398829479555607 -0.0813106081696779 0.363636363636364 2.75 1.6354445435623 0.594707106749926 ; 11 21 32
10 0 1 Inf 0.311673290686301 -0.0876157054183332 0 Inf 12.3897313906235 0 ; 11 21 32 42 52
18 2 0.888888888888889 -8 0.485432086331298 -0.0745679136687016 0.111111111111111 9 8.52631578947368 0.947368421052632 ; 22 31 41 51
29 21 0.275862068965517 -0.380952380952381 0.230862943405181 0.0028501597951257 0.724137931034483 1.38095238095238 1.38755980861244 1.00478468899522 ; 13 22
30 5 0.833333333333333 -5 0.59603956067927 -0.231793162486383 0.166666666666667 6 2.5 0.416666666666667 ; 23 51
13 22 -0.692307692307692 0.409090909090909 -0.264860111628623 -0.0118090495630596 1.69230769230769 0.590909090909091 0.579839429081178 0.981266726137377 ; 11 21
12 0 1 Inf 0.46566339645709 -0.0689447451233111 0 Inf 15.3185695103731 0 ; 13 21 33 43 53
10 1 0.9 -9 0.182175896140707 -0.0634908633221632 0.1 10 4.46030330062444 0.446030330062444 ; 11 21 32 52
45 13 0.711111111111111 -2.46153846153846 0.909870162371853 -0.0715628217595839 0.288888888888889 3.46153846153846 2.93478260869565 0.847826086956522 ; 43 53
12 0 1 Inf 0.361206977288302 -0.0783714567358788 0 Inf 5.61680882047015 0 ; 13 21 43 53
17 10 0.411764705882353 -0.7 -0.014297430984443 -0.222801632840903 0.588235294117647 1.7 0.97254004576659 0.5720823798627 ; 21 43
18 14 0.222222222222222 -0.285714285714286 -0.0518785847899556 -0.167164328767635 0.777777777777778 1.28571428571429 0.909090909090909 0.707070707070707 ; 13 42
18 0 1 Inf 0.519039317041704 -0.0517117996356103 0 Inf 21.6770740410348 0 ; 11 22 31 41 51
27 20 0.259259259259259 -0.35 0.173859747502667 -0.0256514381561313 0.740740740740741 1.35 1.29186602870813 0.956937799043062 ; 22 33
12 18 -0.5 0.333333333333333 -0.262714492984284 -0.0921206663711127 1.5 0.666666666666667 0.564971751412429 0.847457627118644 ; 11 42
30 11 0.633333333333333 -1.72727272727273 0.59603956067927 -0.0331133089266261 0.366666666666667 2.72727272727273 2.5 0.916666666666667 ; 23 41
31 1 0.967741935483871 -30 0.677494544757338 -0.0678295572165313 0.032258064516129 31 15.1072124756335 0.487329434697856 ; 21 32 42 52
27 1 0.962962962962963 -26 0.697503884014663 -0.0679180799329385 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 51
47 3 0.936170212765957 -14.6666666666667 0.860880012447591 -0.0777848794908795 0.0638297872340425 15.6666666666667 7.16949152542373 0.457627118644068 ; 11 31 51
15 0 1 Inf 0.543540997460379 -0.0520661328637317 0 Inf 30.458089668616 0 ; 12 21 32 42 52
12 4 0.666666666666667 -2 0.187355372236386 -0.0984550415208396 0.333333333333333 3 1.94931773879142 0.649772579597141 ; 22 32 42
21 10 0.523809523809524 -1.1 0.347445625708147 -0.0272506373104429 0.476190476190476 2.1 1.94444444444444 0.925925925925926 ; 12 32
21 3 0.857142857142857 -6 0.526447249252811 -0.0503437642060699 0.142857142857143 7 5.40123456790124 0.771604938271605 ; 12 32 42
30 11 0.633333333333333 -1.72727272727273 0.59603956067927 -0.0331133089266261 0.366666666666667 2.72727272727273 2.5 0.916666666666667 ; 23 31
37 4 0.891891891891892 -8.25 0.706805826748108 -0.0553469774293389 0.108108108108108 9.25 6.58102766798419 0.711462450592886 ; 13 43 53
18 6 0.666666666666667 -2 0.313909448441731 -0.105226378895672 0.333333333333333 3 2.84210526315789 0.947368421052632 ; 22 31 41
18 5 0.722222222222222 -2.6 0.222008262583023 -0.0391971817002046 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 51
13 3 0.769230769230769 -3.33333333333333 0.380492467614864 -0.0321780751769472 0.230769230769231 4.33333333333333 5.08916920400174 1.17442366246194 ; 13 21 33 53
47 3 0.936170212765957 -14.6666666666667 0.860880012447591 -0.0595336588401852 0.0638297872340425 15.6666666666667 7.16949152542373 0.457627118644068 ; 11 41 51
11 16 -0.454545454545455 0.3125 -0.25090634738361 -0.106152685431527 1.45454545454545 0.6875 0.559322033898305 0.813559322033898 ; 11 52
39 16 0.58974358974359 -1.4375 0.606503825175203 -0.0684762383262326 0.41025641025641 2.4375 2.12727272727273 0.872727272727273 ; 13 53
27 0 1 Inf 0.697503884014663 -0.0587924696075914 0 Inf 17.1610169491525 0 ; 11 23 41 51
18 7 0.611111111111111 -1.57142857142857 0.222008262583023 -0.000966395073622478 0.388888888888889 2.57142857142857 2.4085637823372 0.936663693131133 ; 11 22 41
50 11 0.78 -3.54545454545455 1 -0.17 0.22 4.54545454545455 3 0.66 ; 31 41
45 11 0.755555555555556 -3.09090909090909 0.87287156094397 -0.157601809614883 0.244444444444444 4.09090909090909 2.77777777777778 0.679012345679012 ; 32 42
27 2 0.925925925925926 -12.5 0.599221241579107 -0.101698227470242 0.0740740740740741 13.5 5.72033898305085 0.423728813559322 ; 11 23 51
47 6 0.872340425531915 -6.83333333333333 0.860880012447591 -0.0212824381894908 0.127659574468085 7.83333333333333 7.16949152542373 0.915254237288136 ; 11 31 41
12 15 -0.25 0.2 -0.135850023855518 -0.0452833412851726 1.25 0.8 0.727272727272727 0.909090909090909 ; 13 32
12 12 0 0 -0.0388709971513682 -0.0388709971513682 1 1 0.909090909090909 0.909090909090909 ; 12 33
18 4 0.777777777777778 -3.5 0.386308295061732 -0.0689235211133039 0.222222222222222 4.5 3.65497076023392 0.812215724496426 ; 12 21 42
24 17 0.291666666666667 -0.411764705882353 0.194206770872017 -0.014297430984443 0.708333333333333 1.41176470588235 1.37299771167048 0.97254004576659 ; 22 43
23 10 0.565217391304348 -1.3 0.364246398192887 -0.0662266178532522 0.434782608695652 2.3 1.91666666666667 0.833333333333333 ; 12 52
23 5 0.782608695652174 -3.6 0.416585356643629 -0.0480439691396111 0.217391304347826 4.6 3.94736842105263 0.85812356979405 ; 22 43 53
