30 0 1 Inf 0.730693040452846 -0.0839310541621276 0 Inf 7.5 0 ; 23 41 51
21 6 0.714285714285714 -2.5 0.327681968422467 -0.0216639497149869 0.285714285714286 3.5 3.01435406698565 0.861244019138756 ; 13 22 53
15 4 0.733333333333333 -2.75 0.239401969279088 -0.0853372743354488 0.266666666666667 3.75 1.9573727707699 0.521966072205307 ; 13 21 33
43 18 0.581395348837209 -1.38888888888889 0.655502392344498 -0.062200956937799 0.418604651162791 2.38888888888889 2.13223140495868 0.892561983471074 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0480160942680198 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 4 0.636363636363636 -1.75 -0.00913346719548128 -0.077710546687071 0.363636363636364 2.75 1.36287045296858 0.495589255624938 ; 11 21 42
11 6 0.454545454545455 -0.833333333333333 0.158099890904008 -0.0113895943073297 0.545454545454545 1.83333333333333 1.86440677966102 1.01694915254237 ; 11 32 52
34 15 0.558823529411765 -1.26666666666667 0.437037410061049 -0.116543309349613 0.441176470588235 2.26666666666667 1.78947368421053 0.789473684210526 ; 21 52
10 12 -0.2 0.166666666666667 -0.0662266178532522 0 1.2 0.833333333333333 0.833333333333333 1 ; 12 53
10 1 0.9 -9 0.17867948668727 -0.0907880054416158 0.1 10 3.71691941718704 0.371691941718704 ; 11 21 42 52
44 6 0.863636363636364 -6.33333333333333 0.893725749918909 0.00994599400678641 0.136363636363636 7.33333333333333 8.14814814814815 1.11111111111111 ; 32 42 52
11 5 0.545454545454545 -1.2 0.133241806221576 -0.0767697135796414 0.454545454545455 2.2 1.55367231638418 0.706214689265537 ; 11 42 52
18 1 0.944444444444444 -17 0.404701496513842 -0.107536969545561 0.0555555555555556 18 7.2256913470116 0.4014272970562 ; 11 22 31 51
47 12 0.74468085106383 -2.91666666666667 0.791320018671387 -0.221955614993194 0.25531914893617 3.91666666666667 2.38983050847458 0.610169491525424 ; 11 51
12 7 0.416666666666667 -0.714285714285714 0.197532073835983 -0.019842386114815 0.583333333333333 1.71428571428571 1.87226960682338 1.09215727064697 ; 13 21 43
24 20 0.166666666666667 -0.2 0.145679136687016 0.0291358273374033 0.833333333333333 1.2 1.26315789473684 1.05263157894737 ; 22 53
16 17 -0.0625 0.0588235294117647 -0.0684762383262326 -0.0391292790435615 1.0625 0.941176470588235 0.872727272727273 0.927272727272727 ; 13 52
16 0 1 Inf 0.478925825411959 -0.0960951067590487 0 Inf 9.74658869395712 0 ; 12 21 42 52
21 13 0.380952380952381 -0.615384615384615 0.0582716546748065 -0.17481496402442 0.619047619047619 1.61538461538462 1.10526315789474 0.68421052631579 ; 21 53
20 2 0.9 -9 0.44852772186809 -0.0288866848797416 0.1 10 9.36134803411692 0.936134803411691 ; 13 22 43 53
45 1 0.977777777777778 -44 0.894635505056936 -0.0844589769682477 0.0222222222222222 45 8.00395256916996 0.177865612648221 ; 33 43 53
18 5 0.722222222222222 -2.6 0.313909448441731 -0.0358024940040699 0.277777777777778 3.6 2.84210526315789 0.789473684210526 ; 22 41 51
18 20 -0.111111111111111 0.1 -0.0291358273374033 0.0291358273374033 1.11111111111111 0.9 0.947368421052632 1.05263157894737 ; 22 51
50 6 0.88 -7.33333333333333 1 -0.01 0.12 8.33333333333333 9 1.08 ; 31 41 51
14 5 0.642857142857143 -1.8 0.212951067119622 -0.0832651687203118 0.357142857142857 2.8 2.04678362573099 0.730994152046784 ; 22 42 52
50 14 0.72 -2.57142857142857 1 -0.08 0.28 3.57142857142857 3 0.84 ; 31 51
34 3 0.911764705882353 -10.3333333333333 0.616852624040045 -0.130781395957172 0.0882352941176471 11.3333333333333 4.97076023391813 0.43859649122807 ; 21 42 52
24 8 0.666666666666667 -2 0.406504100730533 0.0068376482362701 0.333333333333333 3 3.44497607655502 1.14832535885167 ; 22 33 53
44 19 0.568181818181818 -1.31578947368421 0.894959429780133 0.123442679969674 0.431818181818182 2.31578947368421 2.93333333333333 1.26666666666667 ; 32 52
47 1 0.978723404255319 -46 0.895660009335693 -0.0532512206506943 0.0212765957446809 47 21.5084745762712 0.457627118644068 ; 11 31 41 51
18 16 0.111111111111111 -0.125 -0.0291358273374033 -0.0874074820122098 0.888888888888889 1.125 0.947368421052632 0.842105263157895 ; 22 31
12 15 -0.25 0.2 -0.169753409684498 -0.0804095098505518 1.25 0.8 0.677966101694915 0.847457627118644 ; 11 32
30 3 0.9 -9 0.730693040452846 -0.0539310541621275 0.1 10 7.5 0.75 ; 23 31 41
15 3 0.8 -4 0.364583384153451 -0.00884001070234014 0.2 5 3.65497076023392 0.730994152046784 ; 12 21 32
12 2 0.833333333333333 -5 0.404162067130837 -0.0479310980398368 0.166666666666667 6 6.06060606060606 1.01010101010101 ; 13 32 42 52
23 20 0.130434782608696 -0.15 0.0598533556976396 -0.0256514381561313 0.869565217391304 1.15 1.10047846889952 0.956937799043062 ; 21 33
17 0 1 Inf 0.464622349093135 -0.0532015318858537 0 Inf 7.95714582899938 0 ; 21 33 43 53
15 0 1 Inf 0.464998898415737 -0.0198267647111397 0 Inf 10.9649122807018 0 ; 12 21 32 52
23 0 1 Inf 0.532942028372085 -0.0496384061763058 0 Inf 10.7655502392345 0 ; 22 33 43 53
12 2 0.833333333333333 -5 0.375638082695384 -0.0374983974621603 0.166666666666667 6 5.84795321637427 0.974658869395712 ; 22 32 42 52
21 3 0.857142857142857 -6 0.45206357718608 -0.0226359481185588 0.142857142857143 7 8.22096563723358 1.17442366246194 ; 13 22 33 53
16 2 0.875 -7 0.367003309768784 -0.100690191886528 0.125 8 3.50877192982456 0.43859649122807 ; 12 21 52
12 5 0.583333333333333 -1.4 0.230211055866128 -0.047367768499917 0.416666666666667 2.4 2.18181818181818 0.909090909090909 ; 13 32 52
27 3 0.888888888888889 -8 0.599221241579107 -0.0416371322328319 0.111111111111111 9 5.72033898305085 0.635593220338983 ; 11 23 41
15 2 0.866666666666667 -6.5 0.470970079589517 -0.0264870890925877 0.133333333333333 7.5 10.1526965562053 1.35369287416071 ; 12 21 32 42
37 16 0.567567567567568 -1.3125 0.604043492697268 -0.0260018722022003 0.432432432432432 2.3125 2.19367588932806 0.948616600790514 ; 13 43
24 2 0.916666666666667 -11 0.414043151057241 -0.103202109108617 0.0833333333333333 12 3.74453921364677 0.312044934470564 ; 22 33 43
30 3 0.9 -9 0.730693040452846 -0.0928932845199189 0.1 10 7.5 0.75 ; 23 31 51
31 4 0.870967741935484 -6.75 0.592858415180324 0.0312724384511922 0.129032258064516 7.75 5.43859649122807 0.701754385964912 ; 21 32 52
49 16 0.673469387755102 -2.0625 0.899973418001914 -0.0684762383262326 0.326530612244898 3.0625 2.67272727272727 0.872727272727273 ; 33 53
12 7 0.416666666666667 -0.714285714285714 0.146801219425062 -0.0304730450340545 0.583333333333333 1.71428571428571 1.88323917137476 1.09855618330195 ; 11 32 42
20 5 0.75 -3 0.339366142791453 -0.0896475468355944 0.25 4 2.87081339712919 0.717703349282297 ; 21 33 53
47 18 0.617021276595745 -1.61111111111111 0.791320018671387 -0.0482512206506943 0.382978723404255 2.61111111111111 2.38983050847458 0.915254237288136 ; 11 31
38 15 0.605263157894737 -1.53333333333333 0.500174203026464 -0.157949748324146 0.394736842105263 2.53333333333333 1.85185185185185 0.730994152046784 ; 21 42
18 15 0.166666666666667 -0.2 -0.0291358273374033 -0.116543309349613 0.833333333333333 1.2 0.947368421052632 0.789473684210526 ; 22 41
18 1 0.944444444444444 -17 0.404701496513842 -0.0730409712045778 0.0555555555555556 18 7.2256913470116 0.4014272970562 ; 11 22 31 41
10 5 0.5 -1 -0.0262430163170616 -0.0778903655425783 0.5 2 1.33809099018733 0.669045495093667 ; 11 21 52
19 14 0.263157894736842 -0.357142857142857 -0.0961594035849142 -0.236743326954672 0.736842105263158 1.35714285714286 0.847457627118644 0.624442462087422 ; 11 22
13 1 0.923076923076923 -12 0.222541879881712 -0.137150210087689 0.0769230769230769 13 1.86602870813397 0.143540669856459 ; 13 21 53
24 13 0.458333333333333 -0.846153846153846 0.359024561106316 0.0013008136271968 0.541666666666667 1.84615384615385 1.85185185185185 1.00308641975309 ; 12 42
30 0 1 Inf 0.798019780339635 -0.0601888482110435 0 Inf 22.5 0 ; 23 31 41 51
37 0 1 Inf 0.758326037564629 -0.0683426663951625 0 Inf 17.9482572763205 0 ; 13 33 43 53
20 0 1 Inf 0.455423046936445 -0.0705767657703303 0 Inf 8.51031639465174 0 ; 13 22 33 43
11 8 0.272727272727273 -0.375 0.00398829479555607 -0.0111391331180156 0.727272727272727 1.375 1.6354445435623 1.18941421349985 ; 11 21 32
10 0 1 Inf 0.311673290686301 -0.0390530485548613 0 Inf 12.3897313906235 0 ; 11 21 32 42 52
18 2 0.888888888888889 -8 0.485432086331298 -0.0341358273374032 0.111111111111111 9 8.52631578947368 0.947368421052632 ; 22 31 41 51
29 20 0.310344827586207 -0.45 0.230862943405181 -0.0256514381561313 0.689655172413793 1.45 1.38755980861244 0.956937799043062 ; 13 22
30 9 0.7 -2.33333333333333 0.59603956067927 -0.0993399267798783 0.3 3.33333333333333 2.5 0.75 ; 23 51
13 21 -0.615384615384615 0.380952380952381 -0.264860111628623 -0.0399258342370111 1.61538461538462 0.619047619047619 0.579839429081178 0.936663693131133 ; 11 21
12 0 1 Inf 0.46566339645709 -0.0644047686693771 0 Inf 15.3185695103731 0 ; 13 21 33 43 53
10 2 0.8 -4 0.182175896140707 -0.0172866636291829 0.2 5 4.46030330062444 0.892060660124889 ; 11 21 32 52
45 17 0.622222222222222 -1.64705882352941 0.909870162371853 0.0511163012568457 0.377777777777778 2.64705882352941 2.93478260869565 1.10869565217391 ; 43 53
12 0 1 Inf 0.361206977288302 -0.0419503432397086 0 Inf 5.61680882047015 0 ; 13 21 43 53
17 22 -0.294117647058824 0.227272727272727 -0.014297430984443 0.134634141770171 1.29411764705882 0.772727272727273 0.97254004576659 1.25858123569794 ; 21 43
18 18 0 0 -0.0518785847899556 -0.0518785847899556 1 1 0.909090909090909 0.909090909090909 ; 13 42
18 0 1 Inf 0.519039317041704 -0.0731065614883257 0 Inf 21.6770740410348 0 ; 11 22 31 41 51
27 23 0.148148148148148 -0.173913043478261 0.173859747502667 0.0598533556976396 0.851851851851852 1.17391304347826 1.29186602870813 1.10047846889952 ; 22 33
12 20 -0.666666666666667 0.4 -0.262714492984284 -0.0352560575000555 1.66666666666667 0.6 0.564971751412429 0.941619585687382 ; 11 42
30 8 0.733333333333333 -2.75 0.59603956067927 -0.132453235706504 0.266666666666667 3.75 2.5 0.666666666666667 ; 23 41
31 1 0.967741935483871 -30 0.677494544757338 -0.0262895218199807 0.032258064516129 31 15.1072124756335 0.487329434697856 ; 21 32 42 52
27 1 0.962962962962963 -26 0.697503884014663 -0.0870073936558931 0.037037037037037 27 17.1610169491525 0.635593220338983 ; 11 23 31 51
47 4 0.914893617021277 -10.75 0.860880012447591 -0.116735611881296 0.0851063829787234 11.75 7.16949152542373 0.610169491525424 ; 11 31 51
15 0 1 Inf 0.543540997460379 -0.0369214220913102 0 Inf 30.458089668616 0 ; 12 21 32 42 52
12 4 0.666666666666667 -2 0.187355372236386 -0.028300932619287 0.333333333333333 3 1.94931773879142 0.649772579597141 ; 22 32 42
21 10 0.523809523809524 -1.1 0.347445625708147 -0.0272506373104429 0.476190476190476 2.1 1.94444444444444 0.925925925925926 ; 12 32
21 4 0.80952380952381 -4.25 0.526447249252811 -0.000567797144934175 0.19047619047619 5.25 5.40123456790124 1.02880658436214 ; 12 32 42
30 9 0.7 -2.33333333333333 0.59603956067927 -0.0993399267798783 0.3 3.33333333333333 2.5 0.75 ; 23 31
37 5 0.864864864864865 -6.4 0.706805826748108 -0.0144539364238624 0.135135135135135 7.4 6.58102766798419 0.889328063241107 ; 13 43 53
18 5 0.722222222222222 -2.6 0.313909448441731 -0.0446502637872742 0.277777777777778 3.6 2.84210526315789 0.789473684210526 ; 22 31 41
18 2 0.888888888888889 -8 0.222008262583023 -0.143187704870154 0.111111111111111 9 2.4085637823372 0.267618198037467 ; 11 22 51
13 0 1 Inf 0.380492467614864 -0.0946298772805385 0 Inf 5.08916920400174 0 ; 13 21 33 53
47 3 0.936170212765957 -14.6666666666667 0.860880012447591 -0.0870853677511572 0.0638297872340425 15.6666666666667 7.16949152542373 0.457627118644068 ; 11 41 51
11 17 -0.545454545454545 0.352941176470588 -0.25090634738361 -0.0772019530411109 1.54545454545455 0.647058823529412 0.559322033898305 0.864406779661017 ; 11 52
39 16 0.58974358974359 -1.4375 0.606503825175203 -0.0684762383262326 0.41025641025641 2.4375 2.12727272727273 0.872727272727273 ; 13 53
27 0 1 Inf 0.697503884014663 -0.077701156411928 0 Inf 17.1610169491525 0 ; 11 23 41 51
18 5 0.722222222222222 -2.6 0.222008262583023 -0.124195708188187 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 41
50 19 0.62 -1.63157894736842 1 0.07 0.38 2.63157894736842 3 1.14 ; 31 41
45 17 0.622222222222222 -1.64705882352941 0.87287156094397 0.0242464322484436 0.377777777777778 2.64705882352941 2.77777777777778 1.04938271604938 ; 32 42
27 2 0.925925925925926 -12.5 0.599221241579107 -0.0981510715015952 0.0740740740740741 13.5 5.72033898305085 0.423728813559322 ; 11 23 51
47 7 0.851063829787234 -5.71428571428571 0.860880012447591 0.00081609702967599 0.148936170212766 6.71428571428571 7.16949152542373 1.06779661016949 ; 11 31 41
12 9 0.25 -0.333333333333333 -0.135850023855518 -0.226416706425863 0.75 1.33333333333333 0.727272727272727 0.545454545454546 ; 13 32
12 7 0.416666666666667 -0.714285714285714 -0.0388709971513682 -0.200833485282069 0.583333333333333 1.71428571428571 0.909090909090909 0.53030303030303 ; 12 33
18 3 0.833333333333333 -5 0.386308295061732 -0.0809454247423477 0.166666666666667 6 3.65497076023392 0.60916179337232 ; 12 21 42
24 13 0.458333333333333 -0.846153846153846 0.194206770872017 -0.133442689188135 0.541666666666667 1.84615384615385 1.37299771167048 0.74370709382151 ; 22 43
23 9 0.608695652173913 -1.55555555555556 0.364246398192887 -0.0993399267798783 0.391304347826087 2.55555555555556 1.91666666666667 0.75 ; 12 52
23 5 0.782608695652174 -3.6 0.416585356643629 -0.0177301868646285 0.217391304347826 4.6 3.94736842105263 0.85812356979405 ; 22 43 53
