30 0 1 Inf 0.730693040452846 -0.0860065934465449 0 Inf 7.5 0 ; 23 41 51
12 3 0.75 -3 0.363669150724521 -0.0967839626048704 0.25 4 5.10618983679104 1.27654745919776 ; 13 21 33 43
18 5 0.722222222222222 -2.6 0.222008262583023 -0.0765621509974654 0.277777777777778 3.6 2.4085637823372 0.669045495093667 ; 11 22 31
15 19 -0.266666666666667 0.210526315789474 -0.116543309349613 0 1.26666666666667 0.789473684210526 0.789473684210526 1 ; 22 52
11 0 1 Inf 0.187049359228803 -0.0889097505188053 0 Inf 4.54290150989527 0 ; 11 21 32 42
39 3 0.923076923076923 -12 0.720659878507205 -0.143365385327786 0.0769230769230769 13 5.80165289256199 0.446280991735537 ; 13 33 53
10 5 0.5 -1 0.264958600999098 -0.057617680676789 0.5 2 2.27272727272727 1.13636363636364 ; 12 33 53
23 3 0.869565217391304 -6.66666666666667 0.353408361084115 -0.180755672879709 0.130434782608696 7.66666666666667 3.00130491518051 0.39147455415398 ; 13 22 33
17 3 0.823529411764706 -4.66666666666667 0.317948128687405 -0.049422603229872 0.176470588235294 5.66666666666667 2.91762013729977 0.51487414187643 ; 21 43 53
22 5 0.772727272727273 -3.4 0.545539072777276 -0.0435198179442005 0.227272727272727 4.4 5.09259259259259 1.15740740740741 ; 12 42 52
12 13 -0.0833333333333333 0.0769230769230769 -0.152855695910666 -0.122883990830143 1.08333333333333 0.923076923076923 0.701754385964912 0.760233918128655 ; 22 32
21 19 0.0952380952380952 -0.105263157894737 0.0028501597951257 -0.0541530361073882 0.904761904761905 1.10526315789474 1.00478468899522 0.909090909090909 ; 13 21
49 18 0.63265306122449 -1.72222222222222 0.913346259032624 0 0.36734693877551 2.72222222222222 2.72222222222222 1 ; 42 52
20 4 0.8 -4 0.343037735658155 -0.0791991695342756 0.2 5 3.12044934470564 0.624089868941128 ; 13 22 43
18 1 0.944444444444444 -17 0.404701496513842 -0.102413714944249 0.0555555555555556 18 7.2256913470116 0.4014272970562 ; 11 22 41 51
27 4 0.851851851851852 -5.75 0.599221241579107 0.0198114885166485 0.148148148148148 6.75 5.72033898305085 0.847457627118644 ; 11 23 31
27 0 1 Inf 0.757238288343863 -0.0777742882823994 0 Inf 51.4830508474576 0 ; 11 23 31 41 51
21 3 0.857142857142857 -6 0.327681968422467 -0.0887312524888625 0.142857142857143 7 3.01435406698565 0.430622009569378 ; 13 22 53
15 3 0.8 -4 0.239401969279088 -0.161754607578871 0.2 5 1.9573727707699 0.39147455415398 ; 13 21 33
43 12 0.720930232558139 -2.58333333333333 0.655502392344498 -0.23444976076555 0.27906976744186 3.58333333333333 2.13223140495868 0.59504132231405 ; 13 33
20 0 1 Inf 0.529456482385466 -0.0906450141925832 0 Inf 25.5309491839552 0 ; 13 22 33 43 53
11 4 0.636363636363636 -1.75 -0.00913346719548128 -0.0779654729800474 0.363636363636364 2.75 1.36287045296858 0.495589255624938 ; 11 21 42
11 6 0.454545454545455 -0.833333333333333 0.158099890904008 -0.0556374494693781 0.545454545454545 1.83333333333333 1.86440677966102 1.01694915254237 ; 11 32 52
34 12 0.647058823529412 -1.83333333333333 0.437037410061049 -0.203950791361823 0.352941176470588 2.83333333333333 1.78947368421053 0.631578947368421 ; 21 52
10 11 -0.1 0.0909090909090909 -0.0662266178532522 -0.0331133089266261 1.1 0.909090909090909 0.833333333333333 0.916666666666667 ; 12 53
10 1 0.9 -9 0.17867948668727 -0.0568907948334294 0.1 10 3.71691941718704 0.371691941718704 ; 11 21 42 52
44 3 0.931818181818182 -13.6666666666667 0.893725749918909 -0.0633734562176311 0.0681818181818182 14.6666666666667 8.14814814814815 0.555555555555556 ; 32 42 52
11 4 0.636363636363636 -1.75 0.133241806221576 -0.0174942779802604 0.363636363636364 2.75 1.55367231638418 0.56497175141243 ; 11 42 52
18 0 1 Inf 0.404701496513842 -0.0985246808694945 0 Inf 7.2256913470116 0 ; 11 22 31 51
47 14 0.702127659574468 -2.35714285714286 0.791320018671387 -0.164054150212361 0.297872340425532 3.35714285714286 2.38983050847458 0.711864406779661 ; 11 51
12 6 0.5 -1 0.197532073835983 -0.0411970389325997 0.5 2 1.87226960682338 0.936134803411691 ; 13 21 43
24 20 0.166666666666667 -0.2 0.145679136687016 0.0291358273374033 0.833333333333333 1.2 1.26315789473684 1.05263157894737 ; 22 53
16 17 -0.0625 0.0588235294117647 -0.0684762383262326 -0.0391292790435615 1.0625 0.941176470588235 0.872727272727273 0.927272727272727 ; 13 52
16 1 0.9375 -15 0.478925825411959 -0.0863122988597985 0.0625 16 9.74658869395712 0.60916179337232 ; 12 21 42 52
21 22 -0.0476190476190476 0.0454545454545455 0.0582716546748065 0.0874074820122098 1.04761904761905 0.954545454545455 1.10526315789474 1.15789473684211 ; 21 53
20 0 1 Inf 0.44852772186809 -0.0729774067784483 0 Inf 9.36134803411692 0 ; 13 22 43 53
45 2 0.955555555555556 -21.5 0.894635505056936 -0.0655702376807081 0.0444444444444444 22.5 8.00395256916996 0.355731225296443 ; 33 43 53
18 5 0.722222222222222 -2.6 0.313909448441731 -0.0449383213414732 0.277777777777778 3.6 2.84210526315789 0.789473684210526 ; 22 41 51
18 16 0.111111111111111 -0.125 -0.0291358273374033 -0.0874074820122098 0.888888888888889 1.125 0.947368421052632 0.842105263157895 ; 22 51
50 5 0.9 -9 1 -0.08 0.1 10 9 0.9 ; 31 41 51
14 6 0.571428571428571 -1.33333333333333 0.212951067119622 -0.0144978029862743 0.428571428571429 2.33333333333333 2.04678362573099 0.87719298245614 ; 22 42 52
50 13 0.74 -2.84615384615385 1 -0.11 0.26 3.84615384615385 3 0.78 ; 31 51
34 3 0.911764705882353 -10.3333333333333 0.616852624040045 -0.111095484948213 0.0882352941176471 11.3333333333333 4.97076023391813 0.43859649122807 ; 21 42 52
24 6 0.75 -3 0.406504100730533 -0.0596660803166628 0.25 4 3.44497607655502 0.861244019138756 ; 22 33 53
44 11 0.75 -3 0.894959429780133 -0.123442679969674 0.25 4 2.93333333333333 0.733333333333333 ; 32 52
47 0 1 Inf 0.895660009335693 -0.073775854455486 0 Inf 21.5084745762712 0 ; 11 31 41 51
18 14 0.222222222222222 -0.285714285714286 -0.0291358273374033 -0.145679136687016 0.777777777777778 1.28571428571429 0.947368421052632 0.736842105263158 ; 22 31
12 13 -0.0833333333333333 0.0769230769230769 -0.169753409684498 -0.139972109739849 1.08333333333333 0.923076923076923 0.677966101694915 0.734463276836158 ; 11 32
30 2 0.933333333333333 -14 0.730693040452846 -0.100817745235501 0.0666666666666667 15 7.5 0.5 ; 23 31 41
15 2 0.866666666666667 -6.5 0.364583384153451 -0.126190195789979 0.133333333333333 7.5 3.65497076023392 0.487329434697856 ; 12 21 32
12 1 0.916666666666667 -11 0.404162067130837 -0.0299282462346823 0.0833333333333333 12 6.06060606060606 0.505050505050505 ; 13 32 42 52
23 14 0.391304347826087 -0.642857142857143 0.0598533556976396 -0.196661025863673 0.608695652173913 1.64285714285714 1.10047846889952 0.669856459330144 ; 21 33
17 0 1 Inf 0.464622349093135 -0.0732344910136203 0 Inf 7.95714582899938 0 ; 21 33 43 53
15 0 1 Inf 0.464998898415737 -0.134217330913552 0 Inf 10.9649122807018 0 ; 12 21 32 52
23 1 0.956521739130435 -22 0.532942028372085 -0.0734459008090024 0.0434782608695652 23 10.7655502392345 0.468067401705846 ; 22 33 43 53
12 0 1 Inf 0.375638082695384 -0.05941629474031 0 Inf 5.84795321637427 0 ; 22 32 42 52
21 2 0.904761904761905 -9.5 0.45206357718608 -0.118129597753255 0.0952380952380952 10.5 8.22096563723358 0.78294910830796 ; 13 22 33 53
16 1 0.9375 -15 0.367003309768784 -0.119106200874417 0.0625 16 3.50877192982456 0.219298245614035 ; 12 21 52
12 4 0.666666666666667 -2 0.230211055866128 -0.0491591706393925 0.333333333333333 3 2.18181818181818 0.727272727272727 ; 13 32 52
27 2 0.925925925925926 -12.5 0.599221241579107 -0.101541543093297 0.0740740740740741 13.5 5.72033898305085 0.423728813559322 ; 11 23 41
15 0 1 Inf 0.470970079589517 -0.100967244431449 0 Inf 10.1526965562053 0 ; 12 21 32 42
37 19 0.486486486486487 -0.947368421052632 0.604043492697268 0.0640046084977237 0.513513513513513 1.94736842105263 2.19367588932806 1.12648221343874 ; 13 43
24 3 0.875 -7 0.414043151057241 -0.0997007971171646 0.125 8 3.74453921364677 0.468067401705846 ; 22 33 43
30 1 0.966666666666667 -29 0.730693040452846 -0.0918555148777102 0.0333333333333333 30 7.5 0.25 ; 23 31 51
31 2 0.935483870967742 -14.5 0.592858415180324 -0.140101919027039 0.0645161290322581 15.5 5.43859649122807 0.350877192982456 ; 21 32 52
49 16 0.673469387755102 -2.0625 0.899973418001914 -0.0684762383262326 0.326530612244898 3.0625 2.67272727272727 0.872727272727273 ; 33 53
12 4 0.666666666666667 -2 0.146801219425062 -0.11854502455508 0.333333333333333 3 1.88323917137476 0.627746390458255 ; 11 32 42
20 4 0.8 -4 0.339366142791453 -0.0592432607258986 0.2 5 2.87081339712919 0.574162679425837 ; 21 33 53
47 23 0.51063829787234 -1.04347826086957 0.791320018671387 0.0965024413013886 0.48936170212766 2.04347826086957 2.38983050847458 1.16949152542373 ; 11 31
38 16 0.578947368421053 -1.375 0.500174203026464 -0.129335663482816 0.421052631578947 2.375 1.85185185185185 0.779727095516569 ; 21 42
18 16 0.111111111111111 -0.125 -0.0291358273374033 -0.0874074820122098 0.888888888888889 1.125 0.947368421052632 0.842105263157895 ; 22 41
18 0 1 Inf 0.404701496513842 -0.103699558804425 0 Inf 7.2256913470116 0 ; 11 22 31 41
10 9 0.1 -0.111111111111111 -0.0262430163170616 -0.0210079434251969 0.9 1.11111111111111 1.33809099018733 1.2042818911686 ; 11 21 52
19 16 0.157894736842105 -0.1875 -0.0961594035849142 -0.180509757606769 0.842105263157895 1.1875 0.847457627118644 0.713648528099911 ; 11 22
13 6 0.538461538461538 -1.16666666666667 0.222541879881712 -0.0313052369955844 0.461538461538462 2.16666666666667 1.86602870813397 0.861244019138756 ; 13 21 53
24 12 0.5 -1 0.359024561106316 -0.0312195270527231 0.5 2 1.85185185185185 0.925925925925926 ; 12 42
30 0 1 Inf 0.798019780339635 -0.0896699633899391 0 Inf 22.5 0 ; 23 31 41 51
37 0 1 Inf 0.758326037564629 -0.0823876703669209 0 Inf 17.9482572763205 0 ; 13 33 43 53
20 0 1 Inf 0.455423046936445 -0.106284495255289 0 Inf 8.51031639465174 0 ; 13 22 33 43
11 3 0.727272727272727 -2.66666666666667 0.00398829479555607 -0.0628199585682089 0.272727272727273 3.66666666666667 1.6354445435623 0.446030330062444 ; 11 21 32
10 0 1 Inf 0.311673290686301 -0.076434953314294 0 Inf 12.3897313906235 0 ; 11 21 32 42 52
18 0 1 Inf 0.485432086331298 -0.0934156834519059 0 Inf 8.52631578947368 0 ; 22 31 41 51
29 15 0.482758620689655 -0.933333333333333 0.230862943405181 -0.168159427912416 0.517241379310345 1.93333333333333 1.38755980861244 0.717703349282297 ; 13 22
30 7 0.766666666666667 -3.28571428571429 0.59603956067927 -0.16556654463313 0.233333333333333 4.28571428571429 2.5 0.583333333333333 ; 23 51
13 24 -0.846153846153846 0.458333333333333 -0.264860111628623 0.0444245197848434 1.84615384615385 0.541666666666667 0.579839429081178 1.07047279214987 ; 11 21
12 0 1 Inf 0.46566339645709 -0.0791175291348512 0 Inf 15.3185695103731 0 ; 13 21 33 43 53
10 1 0.9 -9 0.182175896140707 -0.0698918176224557 0.1 10 4.46030330062444 0.446030330062444 ; 11 21 32 52
45 12 0.733333333333333 -2.75 0.909870162371853 -0.102232602513691 0.266666666666667 3.75 2.93478260869565 0.782608695652174 ; 43 53
12 1 0.916666666666667 -11 0.361206977288302 -0.0442643990318092 0.0833333333333333 12 5.61680882047015 0.468067401705846 ; 13 21 43 53
17 13 0.235294117647059 -0.307692307692308 -0.014297430984443 -0.133442689188135 0.764705882352941 1.30769230769231 0.97254004576659 0.74370709382151 ; 21 43
18 21 -0.166666666666667 0.142857142857143 -0.0518785847899556 0.0345857231933037 1.16666666666667 0.857142857142857 0.909090909090909 1.06060606060606 ; 13 42
18 0 1 Inf 0.519039317041704 -0.0943658985051121 0 Inf 21.6770740410348 0 ; 11 22 31 41 51
27 16 0.407407407407407 -0.6875 0.173859747502667 -0.139657829961159 0.592592592592593 1.6875 1.29186602870813 0.76555023923445 ; 22 33
12 16 -0.333333333333333 0.25 -0.262714492984284 -0.14898527524217 1.33333333333333 0.75 0.564971751412429 0.753295668549906 ; 11 42
30 8 0.733333333333333 -2.75 0.59603956067927 -0.132453235706504 0.266666666666667 3.75 2.5 0.666666666666667 ; 23 41
31 0 1 Inf 0.677494544757338 -0.102719851541192 0 Inf 15.1072124756335 0 ; 21 32 42 52
27 0 1 Inf 0.697503884014663 -0.0633643715492576 0 Inf 17.1610169491525 0 ; 11 23 31 51
47 4 0.914893617021277 -10.75 0.860880012447591 -0.059183902970324 0.0851063829787234 11.75 7.16949152542373 0.610169491525424 ; 11 31 51
15 0 1 Inf 0.543540997460379 -0.103253686470007 0 Inf 30.458089668616 0 ; 12 21 32 42 52
12 2 0.833333333333333 -5 0.187355372236386 -0.0776850294907288 0.166666666666667 6 1.94931773879142 0.324886289798571 ; 22 32 42
21 4 0.80952380952381 -4.25 0.347445625708147 -0.231630417138765 0.19047619047619 5.25 1.94444444444444 0.37037037037037 ; 12 32
21 1 0.952380952380952 -20 0.526447249252811 -0.109842544291569 0.0476190476190476 21 5.40123456790124 0.257201646090535 ; 12 32 42
30 12 0.6 -1.5 0.59603956067927 0 0.4 2.5 2.5 1 ; 23 31
37 4 0.891891891891892 -8.25 0.706805826748108 -0.0551327169691808 0.108108108108108 9.25 6.58102766798419 0.711462450592886 ; 13 43 53
18 3 0.833333333333333 -5 0.313909448441731 -0.134362206233075 0.166666666666667 6 2.84210526315789 0.473684210526316 ; 22 31 41
18 4 0.777777777777778 -3.5 0.222008262583023 -0.143990463277113 0.222222222222222 4.5 2.4085637823372 0.535236396074933 ; 11 22 51
13 0 1 Inf 0.380492467614864 -0.0989171226570349 0 Inf 5.08916920400174 0 ; 13 21 33 53
47 3 0.936170212765957 -14.6666666666667 0.860880012447591 -0.0863858560114349 0.0638297872340425 15.6666666666667 7.16949152542373 0.457627118644068 ; 11 41 51
11 23 -1.09090909090909 0.521739130434783 -0.25090634738361 0.0965024413013886 2.09090909090909 0.478260869565217 0.559322033898305 1.16949152542373 ; 11 52
39 14 0.641025641025641 -1.78571428571429 0.606503825175203 -0.127170156891575 0.358974358974359 2.78571428571429 2.12727272727273 0.763636363636364 ; 13 53
27 0 1 Inf 0.697503884014663 -0.0990408873542305 0 Inf 17.1610169491525 0 ; 11 23 41 51
18 3 0.833333333333333 -5 0.222008262583023 -0.134340219146974 0.166666666666667 6 2.4085637823372 0.4014272970562 ; 11 22 41
50 11 0.78 -3.54545454545455 1 -0.17 0.22 4.54545454545455 3 0.66 ; 31 41
45 14 0.688888888888889 -2.21428571428571 0.87287156094397 -0.0666776886832199 0.311111111111111 3.21428571428571 2.77777777777778 0.864197530864198 ; 32 42
27 3 0.888888888888889 -8 0.599221241579107 -0.122229556865645 0.111111111111111 9 5.72033898305085 0.635593220338983 ; 11 23 51
47 3 0.936170212765957 -14.6666666666667 0.860880012447591 -0.0695336588401852 0.0638297872340425 15.6666666666667 7.16949152542373 0.457627118644068 ; 11 31 41
12 17 -0.416666666666667 0.294117647058824 -0.135850023855518 0.0150944470950575 1.41666666666667 0.705882352941177 0.727272727272727 1.03030303030303 ; 13 32
12 11 0.0833333333333333 -0.0909090909090909 -0.0388709971513682 -0.0712634947775084 0.916666666666667 1.09090909090909 0.909090909090909 0.833333333333333 ; 12 33
18 3 0.833333333333333 -5 0.386308295061732 -0.0715276916723633 0.166666666666667 6 3.65497076023392 0.60916179337232 ; 12 21 42
24 13 0.458333333333333 -0.846153846153846 0.194206770872017 -0.133442689188135 0.541666666666667 1.84615384615385 1.37299771167048 0.74370709382151 ; 22 43
23 9 0.608695652173913 -1.55555555555556 0.364246398192887 -0.0993399267798783 0.391304347826087 2.55555555555556 1.91666666666667 0.75 ; 12 52
23 4 0.826086956521739 -4.75 0.416585356643629 -0.0688464881214742 0.173913043478261 5.75 3.94736842105263 0.68649885583524 ; 22 43 53
